iter	Passed	Remaining
0	0	43
1	1	49
2	1	42
3	2	59
4	2	53
5	3	51
6	3	49
7	4	47
8	4	44
9	4	43
10	5	42
11	5	41
12	6	40
13	6	39
14	6	38
15	7	37
16	7	36
17	7	35
18	8	35
19	8	34
20	8	33
21	9	32
22	9	32
23	10	32
24	10	31
25	11	31
26	11	31
27	12	31
28	12	30
29	12	29
30	13	29
31	13	28
32	13	28
33	14	27
34	15	28
35	15	27
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	24
42	18	24
43	18	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	22	20
53	29	24
54	29	24
55	30	23
56	30	23
57	30	22
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	34	19
64	35	18
65	35	18
66	35	17
67	36	17
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	41	10
79	41	10
80	41	9
81	42	9
82	42	8
83	42	8
84	43	7
85	44	7
86	45	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	50	0
